"kingdom","phylum","class","order","family","genus","A","B","C"
"Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","'Solanum",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","02d06",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae","1-68",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Acanthamoeba",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Acidaminococcus",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",-1.95996398454005,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",1.95996398454005,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomycetaceae",0,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Adlercreutzia",1.95996398454005,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonadaceae",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter",-1.95996398454005,0,0
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia",1.50501265869127,0,1.95996398454005
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Alicycliphilus",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",1.95996398454005,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Allobaculum",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Anaerobiospirillum",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae","Anaerococcus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerofilum",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis",0,0,0
"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma",0,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Anaerorhabdus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus",1.95996398454005,0,0
"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter",0,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Atopobium",1.95996398454005,0,0
"Bacteria","Lentisphaerae","unclassified Lentisphaerae","Bacteria","Bacteria","Bacteria",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",-1.27106907394998,-3.34252852528512,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella",-3.29052673149192,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiellaceae",-0.434696310338533,0,0
"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",1.95996398454005,0,0
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",0,-1.95996398454005,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",1.95996398454005,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae","Brachybacterium",0,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Bulleidia",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus",1.95996398454005,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas",-2.15707270447901,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio",1.95996398454005,0,0
"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",0,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Tremblayales","Tremblayaceae","Carsonella",0,0,0
"Bacteria","Cyanobacteria","Chloroplast","Chlorophyta","Chlamydomonadaceae","Carteria",0,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium",0,0,0
"Bacteria","Verrucomicrobia","Opitutae","Cerasicoccales","Cerasicoccaceae","Cerasicoccaceae",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Cinnamomum",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter",-2.05374891063182,0,1.95996398454005
"Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridiaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",0.584402026946505,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridium",0.584402026946505,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella",1.95996398454005,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",1.95996398454005,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Coriobacteriaceae",1.95996398454005,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Coriobacterium",1.95996398454005,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Cyanophora",0,0,0
"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Cytophagales",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Defluviitalea",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Dehalobacteriaceae","Dehalobacteriaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Dehalobacteriaceae","Dehalobacterium",0,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia",0,0,0
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",0,0,0
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrionaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfurispora",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Dictyostelium",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",1.56435806527895,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Dysgonomonas",0,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Eggerthella",1.95996398454005,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter",-1.95996398454005,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter",-2.05374891063182,0,1.95996398454005
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Enterocloster",1.95996398454005,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Epulopiscium",1.95996398454005,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia",-2.05374891063182,0,1.95996398454005
"Bacteria","Firmicutes","Clostridia","Clostridiales","EtOH8","EtOH8",0,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Eubacterium",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",1.95996398454005,3.36352062135103,2.88613889634095
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae","Finegoldia",0,0,0
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacteriaceae",0,0,0
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",-1.95996398454005,0,0
"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella",0,0,0
"Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","Gemellaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Gemmiger",1.95996398454005,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",-1.95996398454005,0,-1.95996398454005
"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hespellia",1.95996398454005,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Holdemania",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hungatella",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnobacterium",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",1.95996398454005,-2.61205414122928,0
